name,homepage_url, market , funding_total_usd ,status,country_code,state_code,region,city,funding_rounds,founded_at,founded_month,founded_quarter,founded_year,first_funding_at,last_funding_at
ZALP,http://www.zalp.com, Software , -   ,operating,JPN,,USA - Other,Usa,1,1/1/12,2012-01,2012-Q1,2012,1/1/12,1/1/12
Zambikes Malawi,http://www.zambikes.com, Sports , -   ,operating,USA,CA,San Diego,Encinitas,1,8/1/07,2007-08,2007-Q3,2007,6/27/12,6/27/12
Zameen.com,http://www.zameen.com, Real Estate , -   ,operating,PAK,,Lahore,Lahore,1,1/1/06,2006-01,2006-Q1,2006,5/29/14,5/29/14
Zample,http://zample.com, Software ,"2,000,000",operating,USA,CA,SF Bay Area,Sunnyvale,1,,,,,2/19/14,2/19/14
Zamplus Technology,http://www.zamplus.com, Enterprise Software ,"20,000,000",operating,CHN,,Beijing,Beijing,1,,,,,4/1/13,4/1/13
Zamzee,http://zamzee.com, Health and Wellness ,"1,000,000",operating,USA,CA,SF Bay Area,Redwood City,1,1/1/10,2010-01,2010-Q1,2010,11/22/10,11/22/10
ZanAqua,http://zanaqua.com, Manufacturing ,"400,000",operating,USA,NH,"Manchester, New Hampshire",Hudson,1,1/1/96,1996-01,1996-Q1,1996,7/16/10,7/16/10
Zanbato,http://zanbato.com, Finance ,"5,050,000",operating,USA,CA,SF Bay Area,Mountain View,6,7/1/10,2010-07,2010-Q3,2010,8/15/10,2/18/14
zanda,http://www.zanda.fr, News ,"10,000",operating,,,,,1,1/1/13,2013-01,2013-Q1,2013,1/21/13,1/21/13
Zando,http://www.zando.co.za, E-Commerce ,"25,700,000",operating,ZAF,,Cape Town,Cape Town,1,1/1/11,2011-01,2011-Q1,2011,11/2/12,11/2/12
Zane Prep,http://www.zaniaclearning.com, Education , -   ,operating,USA,UT,Salt Lake City,Park City,1,2/28/13,2013-02,2013-Q1,2013,2/1/13,2/1/13
Zang,http://zangapp.com/, Online Dating ,"200,000",operating,RUS,,Moscow,Moscow,1,8/6/13,2013-08,2013-Q3,2013,9/9/14,9/9/14
Zango,http://zango.com, Games ,"40,000,000",closed,USA,WA,Seattle,Bellevue,2,1/1/99,1999-01,1999-Q1,1999,3/1/04,6/1/06
ZangZing,, Photography ,"1,500,000",operating,,,,,1,,,,,1/1/10,1/1/10
Zank,http://zank.com.es, Finance ,"180,000",operating,ESP,,Valencia,Valencia,1,7/19/13,2013-07,2013-Q3,2013,9/1/13,9/1/13
ZANK.mobi,http://www.zank.mobi, Online Dating , -   ,operating,,,,,1,,,,,5/1/13,5/1/13
Zannel,http://zannel.com, Messaging ,"16,000,000",acquired,USA,CA,SF Bay Area,San Francisco,2,,,,,10/4/06,6/2/08
ZANY OX,http://www.zanyox.com.ng, E-Commerce ,"200,000",operating,,,,,1,5/1/13,2013-05,2013-Q2,2013,6/5/13,6/5/13
ZAO Begun,http://begun.ru/begun/english, Advertising Networks , -   ,operating,,,,,1,5/1/02,2002-05,2002-Q2,2002,9/1/03,9/1/03
Zao.com,http://www.zao.com, Social Recruiting ,"1,300,000",acquired,USA,CA,Los Angeles,Los Angeles,1,9/4/11,2011-09,2011-Q3,2011,6/28/12,6/28/12
ZAOZAO,http://www.shopzaozao.com, Jewelry ,"330,000",operating,USA,NY,New York City,New York,1,4/1/12,2012-04,2012-Q2,2012,11/26/13,11/26/13
ZAP,http://www.zapworld.com, Automotive ,"25,000,000",operating,USA,CA,Napa Valley,Santa Rosa,1,10/1/94,1994-10,1994-Q4,1994,8/10/09,8/10/09
ZAP Group,http://www.zap.com.ph, Trading ,"850,000",operating,,,,,2,3/1/13,2013-03,2013-Q1,2013,10/1/12,6/6/14
Zapa,http://www.zapatechnology.com, Web Development ,"6,962,500",operating,IRL,,Dublin,Dublin,2,1/15/09,2009-01,2009-Q1,2009,6/15/09,7/3/09
Zapcoder,http://zapcoder.com, Software ,"143,948",operating,GBR,,Glasgow,Glasgow,1,5/10/13,2013-05,2013-Q2,2013,12/13/13,12/13/13
ZapHour,http://zaphour.com, Software ,"55,000",operating,USA,OR,"Portland, Oregon",Portland,1,1/1/10,2010-01,2010-Q1,2010,1/14/11,1/14/11
Zapier,http://zapier.com, SaaS ,"1,200,000",operating,USA,CA,SF Bay Area,Mountain View,2,10/1/11,2011-10,2011-Q4,2011,5/20/12,10/31/12
ZAPITANO,http://www.zapitano.de, Games ,"2,855,541",operating,DEU,,Berlin,Berlin,2,1/1/11,2011-01,2011-Q1,2011,1/13/12,6/21/13
Zaplee,http://www.zaplee.com, Software , -   ,operating,USA,IL,Chicago,Chicago,1,6/1/10,2010-06,2010-Q2,2010,8/14/14,8/14/14
Zaplox,http://www.zaplox.com, Security ,"5,515,489",operating,SWE,,Malmo,Lund,2,1/1/10,2010-01,2010-Q1,2010,11/1/11,8/13/14
ZapMe,http://www.zapme.com.au, App Marketing ,"40,000",operating,,,,,1,1/1/07,2007-01,2007-Q1,2007,1/1/07,1/1/07
Zapnip,, Photography ,"40,000",operating,,,,,1,,,,,4/26/11,4/26/11
Zapoint,http://www.zapoint.com, Consulting , -   ,operating,USA,MA,Boston,Brookline,1,3/1/06,2006-03,2006-Q1,2006,8/27/08,8/27/08
Zappedy,http://www.zappedy.com, Curated Web , -   ,acquired,CHL,,Santiago,Santiago,1,1/1/10,2010-01,2010-Q1,2010,8/1/10,8/1/10
Zapper,http://zapper.co.uk, Textbooks ,"723,430",operating,GBR,,London,London,1,11/1/11,2011-11,2011-Q4,2011,11/15/13,11/15/13
zappit,http://zappit.co, Mobile Payments ,"576,456",operating,GBR,,London,London,1,2/1/11,2011-02,2011-Q1,2011,1/24/12,1/24/12
Zappli,http://www.zappli.com, Mobile ,"500,000",acquired,USA,CA,SF Bay Area,San Francisco,1,,,,,11/29/10,11/29/10
Zappos,http://www.zappos.com, Curated Web ,"62,750,000",acquired,USA,NV,Las Vegas,Las Vegas,8,1/1/99,1999-01,1999-Q1,1999,1/1/99,11/1/05
Zapproved,http://www.zapproved.com, Collaboration ,"1,550,000",operating,USA,OR,"Portland, Oregon",Portland,2,2/1/08,2008-02,2008-Q1,2008,3/3/09,4/4/11
ZappRx,http://zapprx.com, Health Care ,"2,000,000",operating,USA,MA,Boston,Cambridge,2,1/1/12,2012-01,2012-Q1,2012,9/5/13,1/30/14
ZappyLab,http://www.zappylab.com, Mobile ,"1,185,000",operating,GBR,,London,Kensington,4,1/1/12,2012-01,2012-Q1,2012,8/15/12,8/22/14
ZAPR,http://zapr.in,, -   ,operating,,,,,1,,,,,6/1/13,6/1/13
ZAPS Technologies,http://www.zapstechnologies.com, Hardware + Software ,"569,596",operating,USA,OR,"Salem, Oregon",Corvallis,1,1/1/07,2007-01,2007-Q1,2007,6/28/11,6/28/11
Zapstitch,http://zapstitch.com,, -   ,,IND,,Bangalore,Bangalore,1,1/1/13,2013-01,2013-Q1,2013,5/24/14,5/24/14
Zapya,http://kuaiya.cn,,"20,000,000",operating,CHN,,Beijing,Beijing,1,,,,,6/4/14,6/4/14
Zaranga,http://www.zaranga.com, Hospitality , -   ,operating,USA,CA,SF Bay Area,San Francisco,3,10/17/11,2011-10,2011-Q4,2011,10/17/11,8/13/13
Zarbee's,http://zarbees.com, E-Commerce ,"24,636,630",operating,USA,UT,Salt Lake City,Draper,5,1/1/07,2007-01,2007-Q1,2007,8/13/09,3/18/14
Zarfo,http://www.zarfo.com, Messaging ,"660,000",operating,,,,,2,2/1/11,2011-02,2011-Q1,2011,6/30/12,12/31/13
Zarpamos.com,http://www.zarpamos.com, Curated Web ,"2,573,200",operating,ESP,,A Coruna,A Coru_a,1,1/1/12,2012-01,2012-Q1,2012,1/15/14,1/15/14
Zarpo,http://www.zarpo.com.br, Flash Sales , -   ,operating,BRA,,Sao Paulo,S o Paulo,1,5/1/11,2011-05,2011-Q2,2011,8/2/13,8/2/13
ZarthCode,http://www.zarthcode.com/,,"30,000",operating,,,,,1,,,,,3/1/14,3/1/14
Zartis,http://www.zartis.com, Marketplaces ,"392,504",operating,IRL,,Cork,Cork,1,5/8/11,2011-05,2011-Q2,2011,12/14/11,12/14/11
Zase,http://www.zase.com.br, Loyalty Programs ,"95,000",operating,BRA,,Sao Paulo,S o Paulo,3,,,,,12/16/13,6/1/14
Zattikka,http://zattikka.com, Online Gaming ,"25,500,000",closed,GBR,,London,London,3,1/1/09,2009-01,2009-Q1,2009,10/2/09,4/16/12
Zattoo,http://zattoo.com, Television ,"10,000,000",operating,USA,MI,Detroit,Ann Arbor,1,1/1/05,2005-01,2005-Q1,2005,11/1/07,11/1/07
Zauber,http://www.zauberlabs.com, Software ,"1,000,000",operating,ARG,,Buenos Aires,Buenos Aires,1,2/1/07,2007-02,2007-Q1,2007,4/24/12,4/24/12
Zave Networks,http://zavenetworks.com, Curated Web ,"15,036,298",acquired,,,,,4,1/1/06,2006-01,2006-Q1,2006,9/1/06,12/1/10
Zavedenia.com,http://www.goresty.com, Internet ,"5,000",operating,BGR,,Sofia,Sofia,1,1/1/07,2007-01,2007-Q1,2007,4/1/06,4/1/06
Zawatt,http://zawatt.com, Social Media ,"400,000",operating,JPN,,Tokyo,Tokyo,2,8/26/11,2011-08,2011-Q3,2011,9/12/11,7/11/12
Zaya,http://zaya.in, Social Network Media , -   ,operating,IND,,Mumbai,Mumbai,1,1/1/13,2013-01,2013-Q1,2013,5/20/14,5/20/14
Zayante,, Software ,"4,500,000",acquired,,,,,2,1/1/96,1996-01,1996-Q1,1996,10/1/98,5/1/99
Zayo,http://www.zayo.com, Internet ,"225,000,000",operating,,,,,1,11/1/07,2007-11,2007-Q4,2007,8/30/07,8/30/07
Zazengo,http://www.zazengo.com, Curated Web , -   ,closed,JPN,,USA - Other,Usa,1,,,,,12/1/07,12/1/07
Zazom,http://www.zazom.com, Real Estate ,"55,000",operating,USA,FL,Miami,Miami,2,7/1/13,2013-07,2013-Q3,2013,9/1/13,1/1/14
Zazoo,http://www.zazoo.it, Music ,"3,100,000",operating,ISR,,Netanya,Netanya,3,8/29/12,2012-08,2012-Q3,2012,11/15/11,8/11/13
Zazoom,http://zazoomvideo.com, Video Streaming ,"125,000",operating,USA,NY,New York City,New York,1,2/1/11,2011-02,2011-Q1,2011,3/31/11,3/31/11
Zazuba,http://www.zazuba.com, Software ,"150,000",operating,USA,DC,"Washington, D.C.",Washington,1,11/1/09,2009-11,2009-Q4,2009,11/1/09,11/1/09
Zazum,http://zazuminc.com, Games ,"196,300",operating,USA,CA,SF Bay Area,Redwood City,1,,,,,4/7/11,4/7/11
Zazzle,http://zazzle.com, Video on Demand ,"46,000,000",operating,USA,CA,SF Bay Area,Redwood City,2,1/1/99,1999-01,1999-Q1,1999,7/1/05,10/1/07
Zazzy,http://www.zazzy.me, Curated Web , -   ,operating,NLD,,Amsterdam,Amsterdam,1,3/1/13,2013-03,2013-Q1,2013,7/11/14,7/11/14
Z™m XR,http://www.zumxr.com/, Food Processing ,"1,500,000",operating,USA,CO,Denver,Centennial,1,1/1/09,2009-01,2009-Q1,2009,7/21/14,7/21/14
ZBD Displays,http://www.zbdsolutions.com, Software ,"10,130,000",operating,GBR,,London,Windsor,2,1/1/91,1991-01,1991-Q1,1991,10/1/05,8/30/06
