name,homepage_url, market , funding_total_usd ,status,country_code,state_code,region,city,funding_rounds,founded_at,founded_month,founded_quarter,founded_year,first_funding_at,last_funding_at
Zendrive,http://www.zendrive.com, Automotive ,"1,500,000",operating,USA,CA,SF Bay Area,San Francisco,1,1/1/13,2013-01,2013-Q1,2013,8/29/13,8/29/13
ZendyPlace,http://zendybeauty.com/, Health Care ,"100,000",operating,USA,CA,Los Angeles,Los Angeles,1,4/10/12,2012-04,2012-Q2,2012,4/1/12,4/1/12
Zenedy,http://zenedy.com,, -   ,operating,,,,,1,,,,,3/2/10,3/2/10
Zenefits,http://www.zenefits.com, Human Resources ,"83,600,000",operating,USA,CA,SF Bay Area,San Francisco,3,1/1/13,2013-01,2013-Q1,2013,7/26/13,6/3/14
Zenfolio,http://www.zenfolio.com, Photography , -   ,acquired,USA,CA,SF Bay Area,Menlo Park,1,1/1/05,2005-01,2005-Q1,2005,4/1/05,4/1/05
ZenHub,http://www.zenhub.io/, IT Management ,"40,000",operating,CAN,BC,Vancouver,Vancouver,1,,,,,6/1/14,6/1/14
ZeniMax,http://www.zenimax.com, Games ,"586,974,337",operating,USA,MD,"Washington, D.C.",Rockville,8,1/1/99,1999-01,1999-Q1,1999,10/1/07,5/6/14
Zenith Epigenetics,http://zenithepigenetics.com, Biotechnology ,"12,600,000",operating,CAN,AB,Calgary,Calgary,2,,,,,3/14/14,7/23/14
Zenitum,http://www.zenitum.com, Software ,"1,000,000",operating,USA,CA,SF Bay Area,Sunnyvale,1,3/1/04,2004-03,2004-Q1,2004,4/22/10,4/22/10
Zenkars,http://zenkars.com,, -   ,operating,,,,,1,,,,,12/5/12,12/5/12
ZenMate,http://zenmate.com/, Privacy ,"3,265,007",operating,DEU,,Berlin,Berlin,3,1/1/13,2013-01,2013-Q1,2013,5/1/13,10/1/14
ZENN Motor,http://zenncars.com, Manufacturing ,"1,022,446",operating,CAN,ON,Toronto,Toronto,2,,,,,7/14/09,4/24/12
Zeno Corporation,http://myzeno.com, Health and Wellness ,"52,000,000",operating,USA,TX,Houston,Houston,3,9/1/02,2002-09,2002-Q3,2002,7/11/08,11/18/10
Zenogen,http://www.zenogen.com.au, Clean Technology ,"435,000",operating,USA,MN,Duluth,Eveleth,1,6/1/12,2012-06,2012-Q2,2012,7/1/13,7/1/13
ZenoLink,http://www.zenolink.com, Software ,"35,000",operating,USA,NY,Elmira,Endicott,1,,,,,3/10/10,3/10/10
Zenops,http://www.zenops.com, Games ,"5,240,000",operating,FRA,,Paris,Courbevoie,2,1/1/03,2003-01,2003-Q1,2003,1/1/05,4/24/07
Zenoss,http://www.zenoss.com, Enterprise Software ,"45,632,042",operating,USA,TX,Austin,Austin,4,1/1/05,2005-01,2005-Q1,2005,8/11/06,10/9/12
Zenovia Digital Exchange,http://www.zenoviaexchange.com, Advertising ,"11,040,000",operating,USA,GA,Atlanta,Alpharetta,2,1/6/12,2012-01,2012-Q1,2012,2/4/14,6/15/14
ZenPayroll,http://www.zenpayroll.com, Software ,"26,100,000",operating,USA,CA,SF Bay Area,San Francisco,3,1/1/11,2011-01,2011-Q1,2011,3/1/12,2/19/14
Zenph,http://www.thezoen.com, Curated Web ,"1,065,294",operating,USA,NC,Raleigh,Durham,3,5/1/12,2012-05,2012-Q2,2012,6/30/12,11/26/13
Zenph Sound Innovations,,,"10,806,952",closed,,,,,2,,,,,11/13/09,3/15/11
Zenprise,http://www.zenprise.com, Mobile Devices ,"64,630,000",acquired,USA,CA,SF Bay Area,Redwood City,6,1/1/03,2003-01,2003-Q1,2003,6/6/05,1/1/12
Zenput,http://www.zenput.com, Mobile ,"1,667,189",operating,USA,CA,SF Bay Area,San Francisco,2,1/1/11,2011-01,2011-Q1,2011,1/15/13,2/3/14
Zenring,http://www.zenring.com, Mobile ,"500,000",closed,USA,CA,SF Bay Area,Palo Alto,1,3/19/08,2008-03,2008-Q1,2008,5/1/08,5/1/08
ZenRobotics,http://www.zenrobotics.com, Manufacturing ,"16,970,200",operating,FIN,,Helsinki,Helsinki,1,1/1/07,2007-01,2007-Q1,2007,9/18/12,9/18/12
ZenSuite,http://zensuite.net/it, Travel ,"74,447",operating,ITA,,Roncade,Roncade,2,1/20/14,2014-01,2014-Q1,2014,10/1/13,1/20/14
ZENT,http://www.zenttech.com, Biotechnology ,"25,000",operating,USA,CA,SF Bay Area,Palo Alto,1,1/1/04,2004-01,2004-Q1,2004,5/17/13,5/17/13
Zentact,http://zentact.com, Networking ,"250,000",closed,USA,CA,SF Bay Area,San Francisco,1,9/1/08,2008-09,2008-Q3,2008,9/1/08,9/1/08
Zenter,, Curated Web ,"15,000",acquired,,,,,1,,,,,1/1/07,1/1/07
ZENTICKET,http://www.zen-ticket.com, Ticketing ,"106,327",operating,FRA,,Aix-en-provence,Aix-en-provence,1,6/5/09,2009-06,2009-Q2,2009,6/5/09,6/5/09
Zentila,http://zentila.com, Enterprises ,"4,300,000",operating,USA,FL,Orlando,Windermere,3,1/1/11,2011-01,2011-Q1,2011,1/1/11,7/29/14
Zentric,http://www.zntr.com/, Education , -   ,operating,USA,AZ,Phoenix,Scottsdale,1,7/21/08,2008-07,2008-Q3,2008,3/21/12,3/21/12
Zentrick,http://zentrick.com, Analytics ,"3,388,436",operating,USA,NY,New York City,Manhattan,2,7/15/10,2010-07,2010-Q3,2010,1/1/12,12/22/13
Zentyal,http://www.zentyal.com, Information Technology ,"1,000,000",operating,ESP,,Zaragoza,Zaragoza,1,1/1/08,2008-01,2008-Q1,2008,12/2/11,12/2/11
Zenverge,http://www.zenverge.com, Semiconductors ,"96,254,773",operating,USA,CA,SF Bay Area,Cupertino,7,1/1/05,2005-01,2005-Q1,2005,2/5/07,12/10/13
Zenytime,http://www.zenytime.com,,"800,000",operating,,,,,1,1/1/13,2013-01,2013-Q1,2013,1/1/14,1/1/14
Zeo,http://www.myZeo.com, Analytics ,"27,138,500",closed,USA,MA,Boston,Newton,6,12/1/03,2003-12,2003-Q4,2003,12/15/09,5/3/12
Zeolife,http://www.zeolife.com/, Biotechnology , -   ,operating,USA,NV,Las Vegas,Las Vegas,1,,,,,6/25/13,6/25/13
Zeomatrix,http://www.zmtrx.com, Biotechnology ,"40,000",operating,USA,ME,ME - Other,Orono,1,,,,,4/20/10,4/20/10
ZeOmega,http://zeomega.com, Biotechnology ,"21,500,000",operating,USA,TX,Dallas,Frisco,1,1/1/01,2001-01,2001-Q1,2001,9/4/13,9/4/13
Zep Solar,http://www.zepsolar.com, Clean Technology ,"10,571,182",acquired,USA,CA,SF Bay Area,San Rafael,1,1/1/09,2009-01,2009-Q1,2009,11/20/13,11/20/13
zePASS,http://www.zepass.com, Training , -   ,operating,FRA,,Lyon,Lyon,1,12/1/02,2002-12,2002-Q4,2002,5/1/09,5/1/09
Zephyr,http://www.getzephyr.com, Software , -   ,operating,USA,CA,SF Bay Area,Fremont,1,4/1/07,2007-04,2007-Q2,2007,5/15/08,5/15/08
Zephyr Health,http://zephyrhealthinc.com, Software ,"16,000,000",operating,USA,CA,SF Bay Area,San Francisco,2,1/1/11,2011-01,2011-Q1,2011,1/1/13,1/8/14
Zephyr Solutions,http://www.smartinspector.ru, Mobile ,"225,000",operating,,,,,2,12/1/12,2012-12,2012-Q4,2012,12/1/12,6/13/13
Zephyr Technology,http://www.zephyr-technology.com, Biotechnology ,"13,304,965",operating,USA,MD,Baltimore,Annapolis,3,1/1/03,2003-01,2003-Q1,2003,7/7/09,5/8/13
Zephyrus Biosciences,http://www.zephyrusbio.com,,"1,860,000",operating,USA,CA,SF Bay Area,Berkeley,2,1/1/13,2013-01,2013-Q1,2013,9/10/14,9/10/14
"Zepp Labs, Inc.",http://www.zepp.com, Hardware + Software ,"15,000,000",operating,USA,CA,SF Bay Area,Los Gatos,1,1/1/11,2011-01,2011-Q1,2011,1/22/14,1/22/14
Zeppelin,http://zeppelin.co, Finance ,"118,000",operating,USA,CA,SF Bay Area,San Francisco,1,9/29/11,2011-09,2011-Q3,2011,8/1/12,8/1/12
Zeptor,http://zeptoco.com, Nanotechnology ,"8,404,899",operating,USA,CA,SF Bay Area,Menlo Park,2,1/1/09,2009-01,2009-Q1,2009,10/9/13,9/25/14
Zerimar Ventures,http://www.zerimarventures.com, Technology , -   ,operating,GBR,,GBR - Other,,1,10/1/12,2012-10,2012-Q4,2012,10/1/12,10/1/12
Zerista,http://www.zerista.com, Mobile ,"2,324,998",operating,USA,CO,Denver,Denver,3,8/10/09,2009-08,2009-Q3,2009,4/21/10,8/13/14
Zero Carbon Food,http://www.zerocarbonfood.co.uk/,,"959,269",operating,GBR,,London,London,1,,,,,1/1/14,1/1/14
Zero Chroma LLC,http://www.zerochroma.com, Small and Medium Businesses ,"1,000,000",operating,USA,MD,Baltimore,Baltimore,1,9/1/09,2009-09,2009-Q3,2009,11/9/12,11/9/12
Zero Emission Energy Plants (ZEEP),http://zeep.com, Clean Technology ,"2,803,788",operating,USA,TX,Austin,Austin,1,1/1/08,2008-01,2008-Q1,2008,1/10/13,1/10/13
Zero Gravity Solutions,http://www.zerogsi.com/, Biotechnology ,"1,700,000",operating,USA,FL,Palm Beaches,Boca Raton,1,1/1/13,2013-01,2013-Q1,2013,7/18/14,7/18/14
Zero Locus,http://zerolocus.com, Software ,"20,000",operating,USA,WI,Milwaukee,Milwaukee,1,,,,,1/4/13,1/4/13
Zero Motorcycles,http://www.zeromotorcycles.com, Automotive ,"57,659,978",operating,USA,CA,SF Bay Area,Scotts Valley,10,1/1/06,2006-01,2006-Q1,2006,4/10/08,7/17/13
Zero2IPO,http://www.zero2ipo.com.cn/en, Finance ,"60,000,000",operating,CHN,,Beijing,Beijing,1,,,,,1/1/09,1/1/09
Zero9,http://www.zero9group.com, MicroBlogging ,"44,208,000",closed,,,,,1,,,,,2/21/08,2/21/08
zerobound,http://zerobound.com, Education ,"25,000",operating,,,,,1,1/1/12,2012-01,2012-Q1,2012,12/1/13,12/1/13
ZeroCater,http://ZeroCater.com, Hospitality ,"1,500,000",operating,,,,,1,1/1/09,2009-01,2009-Q1,2009,8/10/11,8/10/11
ZeroDesktop,http://www.zeropc.com, Enterprise Software ,"1,000,000",operating,USA,CA,SF Bay Area,San Mateo,1,2/10/11,2011-02,2011-Q1,2011,3/8/13,3/8/13
ZeroFOX,http://www.zerofox.com, Security ,"13,200,000",operating,USA,MD,Baltimore,Baltimore,2,1/1/13,2013-01,2013-Q1,2013,7/9/13,4/29/14
ZeroG Wireless,http://www.zerogwireless.com, Hardware + Software ,"30,000,000",acquired,USA,CA,SF Bay Area,Sunnyvale,2,,,,,6/6/07,10/1/08
ZeroMail,http://zeromail.com, Information Technology ,"40,000",operating,AUS,,Sydney,Sydney,2,2/1/11,2011-02,2011-Q1,2011,11/1/11,6/1/14
ZeroNines Technology,http://www.zeronines.com, Software ,"3,486,110",operating,USA,CO,Denver,Greenwood Village,1,1/1/00,2000-01,2000-Q1,2000,3/16/08,3/16/08
ZeroPercent.us,http://www.zeropercent.us,, -   ,operating,USA,IL,Chicago,Chicago,1,9/1/11,2011-09,2011-Q3,2011,1/22/14,1/22/14
ZeroPoint Clean Tech,http://www.zeropointcleantech.com, Clean Technology ,"1,500,000",operating,USA,NY,NY - Other,Potsdam,1,,,,,12/17/08,12/17/08
ZeroTurnaround,http://www.zeroturnaround.com, Software ,"6,000,000",operating,EST,,Tallinn,Tallinn,3,9/7/07,2007-09,2007-Q3,2007,7/25/11,3/4/14
ZeroVM,http://www.zerovm.org, IaaS ,"1,538,000",acquired,USA,TX,San Antonio,San Antonio,2,5/1/11,2011-05,2011-Q2,2011,1/14/13,4/30/13
ZeroWire Inc,http://www.zerowireinc.cn, Software , -   ,operating,CHN,,Shanghai,Shanghai,1,,,,,4/1/13,4/1/13
Zerply,http://zerply.com, Creative ,"700,000",operating,USA,CA,SF Bay Area,Mountain View,3,4/30/10,2010-04,2010-Q2,2010,7/1/10,5/1/12
Zertica Inc.,http://www.zertica.com,,"40,000",operating,USA,CA,Los Angeles,Los Angeles,1,1/1/12,2012-01,2012-Q1,2012,7/1/13,7/1/13
Zerto,http://www.zerto.com, Enterprise Software ,"60,200,000",operating,USA,MA,Boston,Boston,5,1/1/09,2009-01,2009-Q1,2009,1/31/10,6/18/14
Zervant,http://www.zervant.com, Finance ,"2,791,160",operating,FIN,,Helsinki,Espoo,3,1/22/10,2010-01,2010-Q1,2010,3/4/10,6/1/13
Zerve,http://www.zerve.com, E-Commerce ,"14,325,499",operating,USA,NY,New York City,New York,3,,,,,8/13/09,12/24/13
zerved,http://www.zervedapp.com, Mobile ,"61,504",operating,DNK,,Copenhagen,Copenhagen,1,1/1/12,2012-01,2012-Q1,2012,3/17/13,3/17/13
ZestFinance,http://zestfinance.com, Analytics ,"112,000,000",operating,USA,CA,Los Angeles,Los Angeles,3,1/1/09,2009-01,2009-Q1,2009,7/21/11,7/31/13
Zesty,http://www.zesty.co.uk, Health Care ,"2,000,000",operating,GBR,,London,London,3,11/1/12,2012-11,2012-Q4,2012,9/1/12,4/10/14
"Zesty, Inc.",http://www.zesty.com/, Health and Wellness , -   ,operating,USA,CA,SF Bay Area,San Francisco,1,,,,,4/1/14,4/1/14
Zet Universe,http://www.zetuniverse.com, Software ,"12,000",operating,USA,CA,SF Bay Area,Palo Alto,3,10/1/10,2010-10,2010-Q4,2010,10/1/10,8/14/13
Zeta Interactive,http://www.zetainteractive.com, Advertising ,"80,000,000",operating,USA,NY,New York City,New York,1,1/1/07,2007-01,2007-Q1,2007,6/27/12,6/27/12
ZetaRx Biosciences,, Biotechnology ,"2,750,000",operating,USA,WA,Seattle,Seattle,2,1/1/09,2009-01,2009-Q1,2009,12/22/10,12/12/12
Zetera,http://www.zetera.com, Web Hosting ,"13,500,000",operating,USA,CA,Anaheim,Irvine,1,,,,,5/10/05,5/10/05
Zeto,http://zeto.ie/%23!/splash, Hardware + Software ,"38,817",operating,IRL,,Cork,Cork,1,3/23/11,2011-03,2011-Q1,2011,1/1/12,1/1/12
ZetrOZ,http://www.zetroz.com, Biotechnology ,"7,449,998",operating,USA,CT,Hartford,Trumbull,6,1/1/09,2009-01,2009-Q1,2009,5/14/10,9/19/14
Zetta.net,http://www.zetta.net, Enterprise Software ,"39,700,000",operating,USA,CA,SF Bay Area,Sunnyvale,4,1/1/09,2009-01,2009-Q1,2009,8/29/08,6/18/13
ZettaCore,http://zettacore.com/index.html, Semiconductors ,"21,000,000",closed,USA,CO,Denver,Englewood,1,1/1/99,1999-01,1999-Q1,1999,5/11/09,5/11/09
Zettaset,http://www.zettaset.com, Business Intelligence ,"13,000,000",,USA,CA,SF Bay Area,Mountain View,2,1/1/09,2009-01,2009-Q1,2009,4/1/11,11/1/12
Zettics,http://zettics.com, Software ,"25,828,327",operating,USA,MA,Boston,Concord,5,1/1/08,2008-01,2008-Q1,2008,6/30/09,1/1/14
ZEturf,http://www.zeturf.com, Curated Web ,"11,373,300",operating,MLT,,MLT - Other,,1,1/1/01,2001-01,2001-Q1,2001,7/9/10,7/9/10
Zeugma Systems,http://www.zeugmasystems.com, Web Hosting ,"31,500,000",closed,CAN,ON,Toronto,Richmond Hill,2,1/1/04,2004-01,2004-Q1,2004,12/1/07,3/17/09
Zeus,http://www.zeus.com/index.html, Software ,"5,768,326",acquired,GBR,,London,Cambridge,1,1/1/95,1995-01,1995-Q1,1995,3/8/05,3/8/05
ZeusControls,,,"12,500",operating,HKG,,Hong Kong,,1,,,,,7/1/14,7/1/14
Zeuss,http://www.Zeuss.com, Sales and Marketing ,"700,000",operating,USA,CA,SF Bay Area,San Francisco,2,5/1/12,2012-05,2012-Q2,2012,10/15/12,8/19/13
Zevan Limited,http://mfarmerkenya.org,,"25,000",operating,,,,,1,1/1/12,2012-01,2012-Q1,2012,4/15/14,4/15/14
Zevez Corporation,http://www.zevez.com, Software ,"2,328,038",operating,USA,OR,"Portland, Oregon",Portland,3,1/1/03,2003-01,2003-Q1,2003,12/14/09,8/31/12
Zevia,http://zevia.com, Hospitality ,"6,710,000",operating,USA,CA,Los Angeles,Culver City,1,1/1/07,2007-01,2007-Q1,2007,10/8/10,10/8/10
ZexSports.com,http://www.zexsports.com, Events , -   ,operating,USA,CA,Los Angeles,Santa Monica,1,,,,,4/1/08,4/1/08
Zextit,http://www.zextit.com, Messaging ,"165,000",operating,USA,CA,SF Bay Area,San Francisco,1,8/15/11,2011-08,2011-Q3,2011,8/31/11,8/31/11
Zhanzuo,http://www.zhanzuo.com, Social Media ,"13,000,000",closed,CHN,,Beijing,Beijing,2,,,,,7/1/06,8/1/07
Zhaogang,http://www.zhaogang.com, E-Commerce ,"37,194,503",operating,CHN,,Beijing,Beijing,3,1/1/12,2012-01,2012-Q1,2012,1/1/12,12/1/13
Zhaopin,http://www.zhaopin.com, Internet ,"110,000,000",operating,CHN,,Beijing,Beijing,1,1/1/97,1997-01,1997-Q1,1997,7/13/08,7/13/08
Zhejiang Xianju Pharmaceutical,http://www.xjpharma.com/, Pharmaceuticals ,"241,669",operating,,,,,1,1/1/72,1972-01,1972-Q1,1972,11/1/01,11/1/01
Zhenai,http://www.zhenai.com,, -   ,operating,CHN,,Shenzhen,Shenzhen,1,,,,,9/14/11,9/14/11
Zheng Yi Wireless Science and Technology,http://www.appcan.cn, E-Commerce ,"1,629,549",operating,CHN,,Beijing,Beijing,1,,,,,3/1/14,3/1/14
Zhengedai.com,http://www.zhengedai.com/, Finance ,"814,774",operating,CHN,,CHN - Other,,1,,,,,3/1/14,3/1/14
Zhengtai Data,http://www.kingtangdata.com, Consulting , -   ,operating,CHN,,Guangzhou,Guangzhou,1,,,,,1/1/99,1/1/99
Zhenpu Education,http://zhenpuedu.com, Mobile ,"10,000,000",operating,CHN,,Beijing,Beijing,1,1/1/06,2006-01,2006-Q1,2006,3/4/14,3/4/14
ZhenXin,http://www.zhenxincares.com, Health Care ,"11,700",closed,TWN,,TWN - Other,,1,,,,,8/29/13,8/29/13
Zhihu,http://www.zhihu.com, Social Media ,"30,000,000",operating,CHN,,Beijing,Beijing,2,1/26/11,2011-01,2011-Q1,2011,11/1/11,6/16/14
Zhijiang Jonway Automobile,http://www.jonwayauto.com, Automotive ,"29,030,000",acquired,CHN,,CHN - Other,,1,,,,,7/8/10,7/8/10
Zhilabs,http://www.zhilabs.com, Software , -   ,operating,ESP,,Barcelona,Barcelona,1,1/1/08,2008-01,2008-Q1,2008,11/1/08,11/1/08
Zhilian Zhaopin,http://www.zhaopin.com, Consulting ,"4,500,000",operating,,,,,2,,,,,1/1/99,1/1/02
Zhima Tech,http://www.zhimatech.com, Analytics ,"162,954",operating,CHN,,Nanjing,Nanjing,1,1/1/12,2012-01,2012-Q1,2012,3/1/14,3/1/14
Zhitu,http://www.imzhitu.com, Photography ,"240,727",operating,CHN,,CHN - Other,,2,,,,,1/1/13,4/1/13
zhiwo,http://www.zhiwo.com, E-Commerce , -   ,operating,CHN,,Beijing,Beijing,1,,,,,12/1/11,12/1/11
Zhongheedu,http://www.zhongheedu.com, Education ,"36,000,000",operating,CHN,,Beijing,Beijing,2,,,,,6/1/06,2/1/08
Zhongjia MRO,http://www.zj-mro.com, Enterprise Software ,"1,463,414",operating,CHN,,Shanghai,Shanghai,1,,,,,8/1/08,8/1/08
Zhongli Technology Group,http://www.zhongli.com, Technology ,"13,856,209",operating,CHN,,CHN - Other,Changshu,1,,,,,6/1/07,6/1/07
ZhongSou,http://www.zhongsou.com, Search ,"2,000,000",operating,CHN,,Beijing,Beijing,2,,,,,3/1/04,8/1/05
Zhongyou Group,, Mobile ,"4,500,000",operating,,,,,1,1/1/04,2004-01,2004-Q1,2004,1/1/04,1/1/04
Zhou Heiya,, E-Commerce ,"32,292,287",operating,CHN,,Wuhan,Wuhan,2,1/1/97,1997-01,1997-Q1,1997,11/1/10,7/1/12
zhouwu,http://www.zhouwu.com, E-Commerce ,"321,239",operating,CHN,,Shanghai,Shanghai,2,1/1/12,2012-01,2012-Q1,2012,3/1/12,7/1/13
Zhuhai OmeSoft,http://www.omesoft.com/, Hospitality ,"304,259",operating,,,,,1,,,,,3/1/11,3/1/11
Zhui Xin,http://zhui.cn, Software ,"1,623,640",operating,CHN,,CHN - Other,,1,,,,,4/1/13,4/1/13
Zi Uniform Supply,,, -   ,operating,USA,UT,Salt Lake City,Ogden,1,5/23/13,2013-05,2013-Q2,2013,3/10/14,3/10/14
Zia Beverage Co.,http://www.cowboyupenergy.com/,, -   ,operating,USA,NM,NM - Other,Jal,1,3/15/11,2011-03,2011-Q1,2011,9/12/13,9/12/13
Ziarco,, Biotechnology ,"7,601,832",operating,USA,CA,SF Bay Area,Palo Alto,1,1/1/12,2012-01,2012-Q1,2012,10/30/12,10/30/12
Ziarco Pharma,http://www.ziarcopharma.com, Biotechnology ,"8,885,317",operating,GBR,,Kent,Kent,2,,,,,11/5/12,6/17/14
Zibby,http://www.zibby.com, E-Commerce ,"40,000",operating,USA,NY,New York City,New York,1,1/1/12,2012-01,2012-Q1,2012,1/7/13,1/7/13
Zidisha,http://www.zidisha.org, Curated Web , -   ,operating,USA,VA,"Washington, D.C.",Sterling,1,10/15/09,2009-10,2009-Q4,2009,1/1/14,1/1/14
Zidoff eCommerce,http://www.zidoff.com,,"300,000",operating,NGA,,NGA - Other,Wuse,1,7/11/13,2013-07,2013-Q3,2013,7/11/13,7/11/13
Ziebel,http://ziebel.com, Clean Technology ,"10,000,000",operating,SWE,,SWE - Other,Nor,1,,,,,1/20/14,1/20/14
Ziegler,http://www.ziegler.com/, Financial Services ,"3,100,000",operating,USA,IL,Chicago,Chicago,1,1/1/02,1902-01,1902-Q1,1902,5/30/14,5/30/14
Zientia,http://zientia.com/, Education ,"265,064",operating,ESP,,Valencia,Valencia,1,1/1/13,2013-01,2013-Q1,2013,6/11/13,6/11/13
Ziffi,https://www.ziffi.com,,"2,400,000",operating,IND,,Hyderabad,Hyderabad,1,,,,,9/29/14,9/29/14
Zift Solutions,http://www.ziftsolutions.com, SaaS ,"3,879,593",operating,USA,NC,Raleigh,Durham,3,1/1/06,2006-01,2006-Q1,2006,8/31/10,6/12/14
Ziften Technologies,http://www.ziften.com, Enterprise Software ,"11,300,000",operating,USA,TX,Austin,Austin,2,1/1/09,2009-01,2009-Q1,2009,7/14/11,5/8/12
Ziftit,http://www.ziftit.com, Gift Registries ,"4,000,000",,USA,CA,San Diego,San Diego,1,2/1/11,2011-02,2011-Q1,2011,7/9/13,7/9/13
Zify,http://zify.co, Social Network Media ,"16,600",operating,IND,,Hyderabad,Hyderabad,1,3/10/14,2014-03,2014-Q1,2014,5/14/14,5/14/14
Zigabid,http://www.zigabid.com, Concerts ,"1,000,000",operating,USA,CA,Los Angeles,La Canada Flintridge,2,12/1/06,2006-12,2006-Q4,2006,12/1/06,2/1/08
ZigaVite,http://www.zigavite.com, Information Services ,"45,000",operating,USA,IL,Chicago,Hoffman Estates,1,6/5/13,2013-06,2013-Q2,2013,6/17/14,6/17/14
Zigfu,http://zigfu.com,, -   ,operating,USA,CA,SF Bay Area,San Francisco,1,,,,,8/2/11,8/2/11
Zighra,http://www.zighra.com, Crowdsourcing ,"980,392",operating,CAN,ON,Ottawa,Ottawa,1,1/1/09,2009-01,2009-Q1,2009,4/1/13,4/1/13
Zigi Games Ltd,http://www.zigigames.com, Games , -   ,operating,,,,,1,4/1/12,2012-04,2012-Q2,2012,7/12/12,7/12/12
Zigmo,http://www.zigmo.com, Curated Web ,"5,000,000",operating,USA,VA,Richmond,Richmond,2,1/1/08,2008-01,2008-Q1,2008,12/2/09,5/9/11
Zignal Labs,http://zignallabs.com, Real Time ,"7,226,266",operating,USA,CA,SF Bay Area,San Francisco,1,7/1/11,2011-07,2011-Q3,2011,6/6/14,6/6/14
Zignals,http://www.zignals.com, Finance ,"3,690,250",operating,IRL,,Dublin,Dublin,1,1/1/07,2007-01,2007-Q1,2007,12/1/07,12/1/07
Zigswitch,http://zigswitch.com, Clean Technology ,"50,000",closed,USA,MA,Boston,Cambridge,1,6/18/09,2009-06,2009-Q2,2009,12/1/10,12/1/10
ZIIBRA,http://www.ziibra.com, E-Commerce ,"100,000",operating,USA,WA,Seattle,Bellevue,1,1/1/12,2012-01,2012-Q1,2012,5/8/13,5/8/13
Ziios,http://ziios.com, Software ,"952,988",operating,USA,CA,Sacramento,El Dorado Hills,1,1/1/07,2007-01,2007-Q1,2007,7/8/09,7/8/09
Ziipa,http://www.ziipa.com, Advertising , -   ,operating,USA,FL,Palm Beaches,West Palm Beach,1,5/1/08,2008-05,2008-Q2,2008,7/7/11,7/7/11
Ziippi,http://www.ziippi.com, Curated Web , -   ,operating,USA,CA,SF Bay Area,Palo Alto,1,10/10/11,2011-10,2011-Q4,2011,11/12/12,11/12/12
ZikBit,, Semiconductors ,"8,000,000",operating,,,,,1,2/1/08,2008-02,2008-Q1,2008,12/15/08,12/15/08
Zikk Software Ltd.,http://www.zikksoftware.com, Mobile , -   ,operating,ISR,,Tel Aviv,Tel Aviv,1,1/1/13,2013-01,2013-Q1,2013,1/28/14,1/28/14
Ziklag Systems,http://www.ziklagsystems.com, Mobile Commerce ,"1,000,000",operating,USA,DC,"Washington, D.C.",Washington,1,6/1/12,2012-06,2012-Q2,2012,6/1/12,6/1/12
Zila Networks,http://zilanetworks.com, Mobile ,"1,000,000",closed,USA,FL,Miami,Miami,1,7/28/09,2009-07,2009-Q3,2009,7/28/09,7/28/09
Zilico,http://www.zilico.co.uk, Biotechnology ,"1,546,558",operating,GBR,,Sheffield,Sheffield,1,,,,,6/21/12,6/21/12
Zilift,http://www.zilift.com,, -   ,operating,GBR,,Aberdeen,Aberdeen,1,1/1/09,2009-01,2009-Q1,2009,1/1/13,1/1/13
Ziliko,http://www.ziliko.com, E-Commerce ,"907,099",closed,CAN,QC,Montreal,Montr_al,4,1/1/09,2009-01,2009-Q1,2009,5/1/09,6/1/11
Zilker Labs,http://www.zilkerlabs.com, Semiconductors ,"27,000,000",closed,USA,TX,Austin,Austin,3,1/1/03,2003-01,2003-Q1,2003,4/12/05,10/2/07
Zillabyte,http://www.zillabyte.com, Cloud Infrastructure , -   ,operating,USA,CA,SF Bay Area,San Francisco,2,10/1/12,2012-10,2012-Q4,2012,4/20/12,6/5/13
Zilliant,http://www.zilliant.com, Optimization ,"29,100,000",operating,USA,TX,Austin,Austin,3,1/1/99,1999-01,1999-Q1,1999,1/18/05,7/19/10
ZillionTV,http://www.zilliontv.tv, Games ,"22,899,998",closed,USA,CA,SF Bay Area,Sunnyvale,3,,,,,2/5/08,2/24/10
ZilloPay,http://www.zillopay.net, Real Estate ,"25,000",closed,USA,TX,Austin,Austin,1,8/1/07,2007-08,2007-Q3,2007,12/1/07,12/1/07
Zillow,http://www.zillow.com, Business Services ,"96,627,980",operating,USA,WA,Seattle,Seattle,5,1/1/05,2005-01,2005-Q1,2005,10/1/05,12/12/12
Zilta,http://www.zilta.co,, -   ,operating,GBR,,London,London,1,1/1/13,2013-01,2013-Q1,2013,2/1/14,2/1/14
Zilyo,https://zilyo.com, Vacation Rentals ,"200,000",operating,CAN,QC,Montreal,Montr_al,1,4/1/13,2013-04,2013-Q2,2013,11/1/13,11/1/13
Zimbra,http://zimbra.com, Productivity Software ,"14,500,000",acquired,USA,CA,SF Bay Area,Palo Alto,1,1/1/03,2003-01,2003-Q1,2003,4/1/06,4/1/06
Zimory,http://www.zimory.com, Enterprise Software ,"25,482,000",operating,DEU,,Berlin,Berlin,2,1/1/07,2007-01,2007-Q1,2007,10/4/10,7/8/13
ZIMPERIUM,http://www.zimperium.com, Mobile Devices ,"8,000,000",operating,ISR,,Tel Aviv,Tel Aviv,1,8/1/10,2010-08,2010-Q3,2010,10/1/13,10/1/13
